Order ID,Order Date,Year-Month,CustomerName,Segment,Category,Sub-Category,Product,Quantity,Price,Amount,Discount,Profit,PaymentMode,Ship Mode,City,State,Postal Code,Region,Country
B-26776,2023-06-27,2023-06,David Padilla,Consumer,Electronics,Electronic Games,Smartwatch,5,1945.2,9726.0,0.15,1275.0,UPI,Second Class,Miami,Florida,33161.0,South,United States
B-26776,2024-12-27,2024-12,Connor Morgan,Home Office,Electronics,Electronic Games,Smartwatch,5,1945.2,9726.0,0.0,1275.0,UPI,Standard Class,Chicago,Illinois,61761.0,Central,United States
B-26776,2021-07-25,2021-07,Robert Stone,Corporate,Electronics,Electronic Games,Smartwatch,5,1945.2,9726.0,0.2,1275.0,UPI,Standard Class,Buffalo,New York,13021.0,East,United States
B-26776,2023-06-27,2023-06,David Padilla,Corporate,Electronics,Printers,Printer,14,355.36,4975.0,0.0,1330.0,UPI,Standard Class,Miami,Florida,33317.0,South,United States
B-26776,2024-12-27,2024-12,Connor Morgan,Corporate,Electronics,Printers,Printer,14,355.36,4975.0,0.0,1330.0,UPI,Second Class,Chicago,Illinois,60423.0,Central,United States
B-26776,2021-07-25,2021-07,Robert Stone,Home Office,Electronics,Printers,Printer,14,355.36,4975.0,0.2,1330.0,UPI,Second Class,Buffalo,New York,14215.0,East,United States
B-26942,2024-05-11,2024-05,John Fields,Consumer,Office Supplies,Pens,Pen,12,127.08,1525.0,0.2,185.0,Debit Card,First Class,Orlando,Florida,33437.0,South,United States
B-26942,2021-10-09,2021-10,Clayton Smith,Home Office,Office Supplies,Pens,Pen,12,127.08,1525.0,0.0,185.0,Debit Card,Standard Class,Miami,Florida,33063.0,South,United States
B-26640,2022-11-18,2022-11,Richard Kelley,Corporate,Electronics,Laptops,Laptop,10,88.3,883.0,0.0,117.0,EMI,Standard Class,Los Angeles,California,91761.0,West,United States
B-26640,2022-11-18,2022-11,Richard Kelley,Consumer,Furniture,Tables,Table,16,507.94,8127.0,0.0,3551.0,Credit Card,Standard Class,Los Angeles,California,92683.0,West,United States
B-25890,2023-11-12,2023-11,Jacqueline Hubbard,Corporate,Furniture,Chairs,Chair,19,132.42,2516.0,0.7,734.0,UPI,Standard Class,New York City,New York,10550.0,East,United States
B-25102,2020-03-23,2020-03,Jessica Anderson,Consumer,Office Supplies,Pens,Pen,14,212.5,2975.0,0.0,462.0,Credit Card,Standard Class,New York City,New York,14304.0,East,United States
B-25426,2020-05-04,2020-05,Mary Taylor,Home Office,Office Supplies,Markers,Marker,1,6851.0,6851.0,0.2,2812.0,Debit Card,Standard Class,Orlando,Florida,33065.0,South,United States
B-25426,2020-05-04,2020-05,Mary Taylor,Corporate,Furniture,Sofas,Sofa,15,508.4,7626.0,0.2,1046.0,Credit Card,Standard Class,Orlando,Florida,32712.0,South,United States
B-25426,2020-05-04,2020-05,Mary Taylor,Corporate,Furniture,Tables,Table,9,113.67,1023.0,0.2,78.0,UPI,Second Class,Orlando,Florida,32174.0,South,United States
B-25238,2023-11-09,2023-11,Walter Crawford,Consumer,Office Supplies,Pens,Pen,10,760.0,7600.0,0.2,1098.0,UPI,Standard Class,Springfield,Illinois,60089.0,Central,United States
B-25238,2023-11-09,2023-11,Walter Crawford,Home Office,Office Supplies,Paper,Paper Pack,18,416.72,7501.0,0.0,262.0,COD,Standard Class,Springfield,Illinois,61107.0,Central,United States
B-25051,2024-12-30,2024-12,Lawrence Robinson,Consumer,Office Supplies,Paper,Paper Pack,6,120.83,725.0,0.2,133.0,Credit Card,Standard Class,Rochester,New York,11757.0,East,United States
B-25051,2024-12-30,2024-12,Lawrence Robinson,Home Office,Furniture,Tables,Table,2,3600.5,7201.0,0.0,2685.0,Credit Card,First Class,Rochester,New York,14304.0,East,United States
B-26510,2025-02-11,2025-02,Douglas Pennington,Consumer,Office Supplies,Paper,Paper Pack,1,1629.0,1629.0,0.2,265.0,UPI,Standard Class,Dallas,Texas,77590.0,Central,United States
B-26510,2024-01-23,2024-01,Ricardo Andrews,Consumer,Office Supplies,Paper,Paper Pack,1,1629.0,1629.0,0.2,265.0,UPI,First Class,San Diego,California,91911.0,West,United States
B-25104,2020-11-28,2020-11,Paul Raymond,Consumer,Office Supplies,Binders,Binder,19,472.16,8971.0,0.2,2971.0,Debit Card,Second Class,San Diego,California,95123.0,West,United States
B-25104,2020-11-28,2020-11,Paul Raymond,Consumer,Office Supplies,Binders,Binder,20,146.95,2939.0,0.0,894.0,COD,Standard Class,San Diego,California,92399.0,West,United States
B-25553,2024-05-30,2024-05,Karen Johnson,Consumer,Electronics,Phones,Smartphone,11,852.73,9380.0,0.0,414.0,UPI,Standard Class,Rochester,New York,10801.0,East,United States
B-25553,2024-05-30,2024-05,Karen Johnson,Corporate,Office Supplies,Binders,Binder,18,475.44,8558.0,0.2,1644.0,Credit Card,Same Day,Rochester,New York,13021.0,East,United States
B-25553,2024-05-30,2024-05,Karen Johnson,Consumer,Office Supplies,Paper,Paper Pack,17,240.0,4080.0,0.0,72.0,COD,Standard Class,Rochester,New York,11757.0,East,United States
B-26703,2022-01-23,2022-01,Juan Erickson,Home Office,Electronics,Electronic Games,Smartwatch,17,247.41,4206.0,0.2,1821.0,EMI,Standard Class,Austin,Texas,75217.0,Central,United States
B-26232,2021-12-17,2021-12,Alexander Reed,Home Office,Office Supplies,Binders,Binder,20,260.95,5219.0,0.0,1180.0,COD,Standard Class,New York City,New York,11520.0,East,United States
B-26232,2023-02-03,2023-02,Jacqueline Harris,Home Office,Office Supplies,Binders,Binder,20,260.95,5219.0,0.2,1180.0,COD,First Class,San Francisco,California,92404.0,West,United States
B-25394,2022-10-30,2022-10,Tyler Park,Consumer,Office Supplies,Pens,Pen,20,184.3,3686.0,0.0,760.0,Debit Card,Second Class,San Francisco,California,92563.0,West,United States
B-25394,2022-01-15,2022-01,Richard Wolfe,Corporate,Office Supplies,Pens,Pen,20,184.3,3686.0,0.0,760.0,Debit Card,First Class,Columbus,Ohio,45014.0,East,United States
B-26157,2023-12-14,2023-12,Sierra Rios,Corporate,Office Supplies,Paper,Paper Pack,4,1511.25,6045.0,0.2,1606.0,COD,Second Class,Orlando,Florida,32216.0,South,United States
B-26157,2023-12-14,2023-12,Sierra Rios,Consumer,Office Supplies,Pens,Pen,11,848.82,9337.0,0.45,554.0,COD,Standard Class,Orlando,Florida,33437.0,South,United States
B-25555,2023-07-03,2023-07,Jessica Richardson,Consumer,Electronics,Phones,Smartphone,12,337.58,4051.0,0.0,1848.0,Credit Card,Same Day,San Diego,California,93277.0,West,United States
B-25555,2021-05-08,2021-05,Kimberly Warren,Corporate,Electronics,Phones,Smartphone,12,337.58,4051.0,0.2,1848.0,Credit Card,Standard Class,Cincinnati,Ohio,43017.0,East,United States
B-25555,2023-07-03,2023-07,Jessica Richardson,Consumer,Furniture,Bookcases,Bookcase,11,455.55,5011.0,0.0,866.0,Credit Card,Standard Class,San Diego,California,95928.0,West,United States
B-25555,2021-05-08,2021-05,Kimberly Warren,Consumer,Furniture,Bookcases,Bookcase,11,455.55,5011.0,0.0,866.0,Credit Card,First Class,Cincinnati,Ohio,43615.0,East,United States
B-26139,2022-10-07,2022-10,Casey Garcia,Home Office,Furniture,Sofas,Sofa,15,263.87,3958.0,0.0,630.0,EMI,Second Class,Orlando,Florida,32725.0,South,United States
B-26139,2022-10-07,2022-10,Casey Garcia,Consumer,Furniture,Tables,Table,1,3132.0,3132.0,0.0,963.0,Debit Card,First Class,Orlando,Florida,33178.0,South,United States
B-25032,2024-08-06,2024-08,Denise Hampton,Corporate,Office Supplies,Markers,Marker,12,648.67,7784.0,0.0,2937.0,UPI,Standard Class,San Francisco,California,95207.0,West,United States
B-25032,2024-08-06,2024-08,Denise Hampton,Corporate,Office Supplies,Pens,Pen,3,1863.67,5591.0,0.0,1696.0,COD,Second Class,San Francisco,California,94521.0,West,United States
B-25032,2024-08-06,2024-08,Denise Hampton,Corporate,Electronics,Electronic Games,Smartwatch,12,426.83,5122.0,0.2,2413.0,COD,Standard Class,San Francisco,California,93534.0,West,United States
B-25730,2022-01-05,2022-01,Justin Rodriguez,Home Office,Office Supplies,Binders,Binder,8,1036.62,8293.0,0.2,2632.0,COD,Standard Class,Cleveland,Ohio,44060.0,East,United States
B-25730,2020-10-17,2020-10,Ms. Emily Baxter,Corporate,Office Supplies,Binders,Binder,8,1036.62,8293.0,0.6,2632.0,COD,Standard Class,Rochester,New York,10011.0,East,United States
B-25730,2023-08-21,2023-08,Austin White,Home Office,Office Supplies,Binders,Binder,8,1036.62,8293.0,0.0,2632.0,COD,Standard Class,Los Angeles,California,91911.0,West,United States
B-25730,2022-01-05,2022-01,Justin Rodriguez,Consumer,Electronics,Phones,Smartphone,17,168.41,2863.0,0.2,205.0,UPI,Standard Class,Cleveland,Ohio,44060.0,East,United States
B-25730,2020-10-17,2020-10,Ms. Emily Baxter,Consumer,Electronics,Phones,Smartphone,17,168.41,2863.0,0.2,205.0,UPI,Standard Class,Rochester,New York,14304.0,East,United States
